id_incross	id_disease	id_cross
MONDO:0013199	455	4
MONDO:0017094	456	4
MONDO:0007345	458	4
MONDO:0002135	461	4
MONDO:0013489	464	4
MONDO:0007483	469	4
MONDO:0014007	470	4
MONDO:0014006	471	4
MONDO:0005392	480	4
MONDO:0007893	481	4
MONDO:0007089	482	4
MONDO:0007390	484	4
MONDO:0004975	485	4
MONDO:0001627	489	4
MONDO:0005347	491	4
MONDO:0012725	492	4
MONDO:0009068	493	4
MONDO:0011313	496	4
MONDO:0018919	498	4
MONDO:0020735	499	4
MONDO:0006055	500	4
MONDO:0054665	501	4
MONDO:0007356	503	4
MONDO:0005835	506	4
MONDO:0008018	507	4
MONDO:0008561	513	4
MONDO:0018907	514	4
MONDO:0002601	515	4
MONDO:0012127	517	4
MONDO:0011400	518	4
MONDO:0016064	520	4
MONDO:0015193	522	4
MONDO:0016580	523	4
MONDO:0013412	524	4
MONDO:0012417	525	4
MONDO:0021106	526	4
MONDO:0018901	527	4
MONDO:0016587	528	4
MONDO:0005477	531	4
MONDO:0013655	536	4
MONDO:0007778	544	4
MONDO:0060664	548	4
MONDO:0014328	550	4
MONDO:0012627	551	4
MONDO:0010918	553	4
MONDO:0011996	554	4
MONDO:0012024	555	4
MONDO:0015993	557	4
MONDO:0014047	565	4
MONDO:0008546	569	4
MONDO:0004993	571	4
MONDO:0000001	576	4
MONDO:0014407	579	4
MONDO:0002407	580	4
MONDO:0008244	582	4
MONDO:0013262	584	4
MONDO:0016830	585	4
MONDO:0010143	589	4
MONDO:0009557	590	4
MONDO:0011569	591	4
MONDO:0013178	593	4
MONDO:0006573	594	4
MONDO:0002070	596	4
MONDO:0007265	600	4
MONDO:0011362	602	4
MONDO:0012714	603	4
MONDO:0010870	604	4
MONDO:0005044	610	4
MONDO:0002473	611	4
MONDO:0007564	612	4
MONDO:0019941	615	4
MONDO:0010233	617	4
MONDO:0010571	618	4
MONDO:0024550	619	4
MONDO:0010650	620	4
MONDO:0012323	624	4
MONDO:0011882	625	4
MONDO:0008000	626	4
MONDO:0011581	627	4
MONDO:0011831	628	4
MONDO:0014303	629	4
MONDO:0000476	630	4
MONDO:0008287	632	4
MONDO:0004375	635	4
MONDO:0012933	636	4
MONDO:0003582	637	4
MONDO:0005559	639	4
MONDO:0013501	641	4
MONDO:0000507	642	4
MONDO:0008178	643	4
MONDO:0044204	646	4
MONDO:0012690	647	4
MONDO:0012691	648	4
MONDO:0014396	649	4
MONDO:0012549	650	4
MONDO:0013071	651	4
MONDO:0011843	653	4
MONDO:0011918	658	4
MONDO:0008972	659	4
MONDO:0013945	660	4
MONDO:0010396	662	4
MONDO:0017746	663	4
MONDO:0016295	665	4
MONDO:0012235	666	4
MONDO:0008769	667	4
MONDO:0004981	668	4
