reviewed	id_protein	id_mlo	id_rol	id_dataset	id_proteinmlo
lt	9	79.0	1.0	1	116
	10	57.0	1.0	2	117
	10	67.0	1.0	2	118
	10	61.0	1.0	2	119
lt	10	11.0	1.0	3	120
lt	10		1.0	1	121
lt	10	10.0	1.0	3	122
lt	10	67.0	1.0	1	123
	11	55.0	1.0	2	124
ht	11	101.0		1	125
lt	11	1.0	1.0	3	126
ht	11	16.0		1	127
ht	11	18.0		1	128
ht	11	39.0		1	129
	11	60.0	1.0	2	130
	11	24.0	1.0	2	131
	11	18.0	1.0	2	132
	11	57.0	1.0	2	133
lt	11	60.0	1.0	1	134
ht	11	60.0		1	135
	12	57.0	1.0	2	136
	12	69.0	1.0	2	137
	12	60.0	1.0	2	138
lt	12	13.0	1.0	3	139
ht	12	60.0		1	140
lt	12	69.0	1.0	1	141
lt	12		1.0	1	142
lt	12	69.0		1	143
lt	12	12.0	1.0	3	144
	14	18.0	1.0	2	149
	14	57.0	1.0	2	150
lt	14	17.0	1.0	3	151
lt	14		1.0	1	152
lt	14	17.0	1.0	1	153
ht	14	39.0		1	154
ht	14	18.0		1	155
	15	57.0	1.0	2	156
lt	15	1.0	1.0	3	157
lt	15	60.0	1.0	1	158
lt	15	93.0	1.0	1	159
	15	60.0	1.0	2	160
ht	15	60.0		1	161
lt	16	6.0	1.0	3	162
lt	16	20.0	1.0	3	163
	16	61.0	2.0	2	164
lt	16	39.0	1.0	1	165
	17	55.0	1.0	2	166
	17	60.0	1.0	2	167
lt	17	21.0	1.0	3	168
lt	17	22.0	1.0	3	169
	17	64.0	1.0	2	170
	17	63.0	1.0	2	171
	17	57.0	1.0	2	172
lt	17	47.0	1.0	1	173
lt	17	84.0	1.0	1	174
lt	18	27.0	1.0	3	175
	18	60.0	1.0	2	176
lt	18	26.0	1.0	1	177
	18	57.0	1.0	2	178
lt	18	24.0		1	179
ht	18	24.0		1	180
	18	24.0	1.0	2	181
lt	18	23.0	1.0	3	182
lt	18	24.0	1.0	3	183
lt	18	25.0	1.0	3	184
lt	18	26.0	1.0	3	185
ht	18	60.0		1	186
lt	19		1.0	1	187
