id_protein	id_mlo	id_rol	id_dataset
232	4.0	3	1
232	4.0	2	2
233	5.0	3	1
233	3.0	3	1
234	3.0	1	1
234	4.0	2	2
234	13.0	2	2
234	1.0	2	2
234	9.0	2	4
234	1.0	1	1
234	4.0	1	1
235		3	2
235	1.0	2	2
235	1.0	1	1
236	2.0	1	1
237		3	2
238	2.0	1	1
239	3.0	1	1
239	3.0	2	2
240	1.0	1	1
240		3	2
240	1.0	2	2
240	6.0	2	3
241	8.0	1	1
242	9.0	2	2
242	9.0	1	1
243		3	2
244	2.0	1	1
245	2.0	1	1
246	3.0	3	1
247	5.0	1	1
248		3	2
249	2.0	1	1
250	3.0	3	1
251	26.0	2	4
251		2	4
251	10.0	4	1
251	46.0	4	5
251	45.0	4	5
252		3	2
252	5.0	1	1
253	2.0	1	1
254	1.0	1	1
255	2.0	1	1
255	5.0	1	1
256	1.0	1	1
257	2.0	1	1
258	1.0	2	2
258	1.0	1	1
259	1.0	3	1
259	6.0	3	1
259	3.0	3	1
259	6.0	2	3
259	1.0	2	2
260	18.0	1	1
260	35.0	2	4
261	1.0	2	2
261	10.0	4	1
261	1.0	4	1
261	16.0	4	1
261	8.0	4	1
261		2	4
262	2.0	1	1
263	1.0	2	2
263	1.0	1	1
264		3	2
265	13.0	2	2
265	2.0	1	1
266	1.0	2	2
266	1.0	1	1
267	4.0	3	1
267	8.0	3	1
268	2.0	1	1
269	90.0	4	5
269	19.0	4	5
269	3.0	2	4
269	6.0	2	4
269		2	3
269		2	4
269	3.0	3	4
269		3	2
269	6.0	3	1
269	3.0	3	1
269	16.0	3	1
270	10.0	4	1
270	23.0	4	5
270	30.0	4	5
270	59.0	4	5
270	6.0	2	4
271	2.0	1	1
272	5.0	1	1
273	1.0	2	2
273	9.0	2	4
273	1.0	1	1
274	2.0	1	1
274	3.0	1	1
275	1.0	1	1
276	1.0	2	2
276	1.0	1	1
277		3	2
277	1.0	2	3
278	1.0	1	1
279	2.0	1	1
280		3	2
281		3	2
282	1.0	1	1
282	3.0	1	1
283	1.0	1	1
284	1.0	1	1
285	2.0	1	1
286	4.0	3	1
286	3.0	3	1
286		3	2
287		3	2
288		3	2
289	5.0	1	1
290	4.0	1	1
290	1.0	1	1
290	4.0	2	2
290	1.0	2	2
291	2.0	1	1
292	7.0	1	1
292	7.0	2	2
293	1.0	1	1
293	2.0	1	1
294	1.0	1	1
294	1.0	2	2
295	1.0	1	1
295	1.0	2	2
296	2.0	1	1
297	3.0	2	2
297	3.0	1	1
298		3	2
299	5.0	1	1
300	2.0	1	1
301	14.0	2	3
302		3	2
302	2.0	1	1
303	3.0	2	2
303	4.0	1	1
303	2.0	1	1
303	3.0	1	1
304	5.0	1	1
305	5.0	1	1
306	9.0	2	4
307	2.0	1	1
308	2.0	1	1
309	47.0	4	5
309	26.0	4	5
309	10.0	4	1
309		2	4
309	26.0	2	4
309	8.0	4	1
309	40.0	4	5
310	3.0	1	1
311	1.0	1	1
311	13.0	2	2
311	3.0	2	2
311	1.0	2	2
311	3.0	1	1
311	4.0	2	2
311	4.0	1	1
311	2.0	1	1
312	1.0	1	1
313	22.0	2	4
313	10.0	4	1
313	6.0	4	5
314	3.0	2	2
314	3.0	1	1
314	4.0	1	1
314	4.0	2	2
315	1.0	1	1
315	2.0	1	1
316	2.0	1	1
317	2.0	1	1
318	3.0	1	1
319	5.0	1	1
320	2.0	1	1
320	5.0	1	1
320	3.0	1	1
321		3	2
321	5.0	1	1
322	3.0	2	2
322	3.0	1	1
323	2.0	1	1
324	3.0	3	1
325	2.0	1	1
326	4.0	1	1
326	4.0	2	2
327	1.0	1	1
327	1.0	2	2
328		3	2
329	2.0	1	1
330	3.0	3	1
330	1.0	3	1
330	3.0	2	3
330	1.0	2	2
331	11.0	2	4
331	8.0	3	1
331	1.0	2	4
331	1.0	3	1
331	3.0	3	1
331	1.0	2	2
332	1.0	2	2
332	3.0	1	1
332	1.0	1	1
333	2.0	1	1
334	1.0	2	2
334	1.0	1	1
335	1.0	1	1
335	1.0	2	2
336	2.0	1	1
337	22.0	2	4
337	10.0	4	1
337	34.0	4	5
337	23.0	4	5
337	61.0	4	5
338		3	2
338	5.0	1	1
339	3.0	1	1
340	7.0	2	3
340	5.0	1	1
341	1.0	2	3
342	2.0	1	1
343	2.0	1	1
344	2.0	1	1
345	2.0	1	1
346	5.0	1	1
346	2.0	1	1
347	1.0	1	1
347	2.0	1	1
348	12.0	1	1
349	2.0	1	1
350	2.0	1	1
351	1.0	1	1
351	7.0	1	1
351	7.0	2	2
351	1.0	2	2
352		3	2
352	1.0	2	3
353	3.0	2	2
353	6.0	2	2
353	6.0	1	1
353	3.0	1	1
354	5.0	1	1
355	2.0	1	1
355	1.0	1	1
356	2.0	1	1
357	3.0	1	1
357	4.0	2	2
357	4.0	1	1
357		3	2
358	9.0	2	4
359	4.0	2	2
359	3.0	1	1
359	4.0	1	1
360	2.0	1	1
361		3	2
362	2.0	1	1
363	1.0	2	2
363	6.0	2	3
363		3	2
363	1.0	1	1
364	2.0	1	1
365	5.0	1	1
366	2.0	1	1
367	2.0	1	1
368	3.0	1	1
368	1.0	1	1
368	3.0	2	2
368	1.0	2	2
368	4.0	1	1
369	1.0	1	1
369	3.0	1	1
369	2.0	1	1
370		3	2
371		3	2
372		3	2
373	2.0	1	1
374		3	2
375	1.0	1	1
376	4.0	2	2
376	1.0	2	2
376	1.0	1	1
376	5.0	1	1
376	4.0	1	1
377	3.0	3	1
377	10.0	3	1
378	2.0	1	1
379	3.0	1	1
379	8.0	1	1
379	2.0	1	1
380	1.0	1	1
380	2.0	1	1
381	1.0	1	1
382	5.0	1	1
382	2.0	1	1
383	3.0	1	1
383	3.0	2	2
384	1.0	1	1
385	1.0	1	1
385	12.0	1	1
386	5.0	1	1
387	2.0	1	1
388	2.0	1	1
388	1.0	1	1
389	6.0	1	1
389	9.0	2	4
389	6.0	2	3
390	5.0	1	1
391	2.0	1	1
392	15.0	1	1
392	1.0	1	1
392	3.0	1	1
392	15.0	2	2
393	8.0	1	1
394	18.0	1	1
395	1.0	2	2
395	1.0	1	1
395	3.0	1	1
396	4.0	1	1
396	6.0	1	1
396	4.0	2	2
397	4.0	3	1
397	3.0	2	2
397	3.0	3	1
398	6.0	2	3
398		3	2
399		3	2
400	2.0	3	1
400	3.0	3	1
401		3	2
402	3.0	3	1
403	2.0	1	1
