uniprot_acc	mlo	rol	db
P22087	Cajal body	unassigned	phasepdb_rev
Q9Y3R0	PML nuclear body	unassigned	phasepdb_rev
Q96HW7	Cajal body	unassigned	phasepdb_rev
O15550	Nucleolus	unassigned	phasepdb_rev
Q6ZMT4	Nucleolus	unassigned	phasepdb_rev
Q00987	PML nuclear body	unassigned	phasepdb_rev
Q9NRN9	Nucleolus	unassigned	phasepdb_rev
Q9H0A0	Nucleolus	unassigned	phasepdb_rev
Q09161	Nuclear speckle	unassigned	phasepdb_rev
P52298	Nuclear speckle	unassigned	phasepdb_rev
Q14978	Nucleolus	unassigned	phasepdb_rev
P13056	PML nuclear body	unassigned	phasepdb_rev
O95453	Cajal body	unassigned	phasepdb_rev
O95453	Nucleolus	unassigned	phasepdb_rev
O75925	Nuclear speckle	unassigned	phasepdb_rev
O75928	Nuclear speckle	unassigned	phasepdb_rev
Q9Y6X2	Nuclear speckle	unassigned	phasepdb_rev
Q96LA8	Nucleolus	unassigned	phasepdb_rev
Q9NVM4	Nucleolus	unassigned	phasepdb_rev
Q06609	PML nuclear body	unassigned	phasepdb_rev
Q09028	Nuclear speckle	unassigned	phasepdb_rev
P38159	Sam68 nuclear body	unassigned	phasepdb_rev
Q04206	Nuclear speckle	unassigned	phasepdb_rev
Q06587	Nuclear speckle	unassigned	phasepdb_rev
Q9Y230	Nuclear speckle	unassigned	phasepdb_rev
Q15424	Sam68 nuclear body	unassigned	phasepdb_rev
Q14151	Sam68 nuclear body	unassigned	phasepdb_rev
Q15020	Cajal body	unassigned	phasepdb_rev
Q01826	PML nuclear body	unassigned	phasepdb_rev
P51531	Nuclear speckle	unassigned	phasepdb_rev
P51531	Paraspeckle	unassigned	phasepdb_rev
P51532	Nuclear speckle	unassigned	phasepdb_rev
P51532	PML nuclear body	unassigned	phasepdb_rev
P51532	Paraspeckle	unassigned	phasepdb_rev
Q969G3	Nuclear speckle	unassigned	phasepdb_rev
Q16533	Nucleolus	unassigned	phasepdb_rev
Q92966	Nucleolus	unassigned	phasepdb_rev
P18583	Nuclear speckle	unassigned	phasepdb_rev
P48436	Paraspeckle	unassigned	phasepdb_rev
